mission	type	title	item_C	item_R	item_A	item_P
STANDARD	NORMAL	SHUTDOWN	INERTIAL 1 and 2 Knobs	AS REQUIRED	LSP	NOTE: If the inertial knobs are turned OFF, the AUTOBRAKE FAIL and/or BRK SHORT DISPACH CAS messages may be displayed and can be disregarded. With airplane stopped, wait at least 5 seconds to turn off the electrical power. If the inertial knobs remain in NAV position, the stored heading function will not be available in the next airplane's power up.
STANDARD	NORMAL	SHUTDOWN	Electrical Power	AS REQUIRED	LSP	
STANDARD	NORMAL	SHUTDOWN	RADAR Switch	OFF	LSP	
STANDARD	NORMAL	SHUTDOWN	RECIRC CARGO Button (2)	PUSH OUT	RSP	
STANDARD	NORMAL	SHUTDOWN	EO / IR System (if installed)	OFF	LSP	
STANDARD	NORMAL	SHUTDOWN	POWER PLANT Knobs	STOP	LSP	
STANDARD	NORMAL	SHUTDOWN	RED BCN Knob	OFF	LSP	
STANDARD	NORMAL	SHUTDOWN	FSTN BELTS Switch	OFF	LSP	
STANDARD	EMERGENCY	CARGO AFR (FWD) (MID) SMOKE (S-3)	1. Crew Oxygen Masks	DON, EMER		
STANDARD	EMERGENCY	CARGO AFR (FWD) (MID) SMOKE (S-3)	2. Smoke Googles	DON		
STANDARD	EMERGENCY	FLIGHT DECK SMOKE EVACUATION (S-6)	1. Crew Oxygen Masks	DON, EMER		
STANDARD	EMERGENCY	FLIGHT DECK SMOKE EVACUATION (S-6)	2. Smoke Googles	DON		
STANDARD	EMERGENCY	SMOKE/FIRE/FUMES (S-8)	1. Crew Oxygen Masks	DON, EMER		
STANDARD	EMERGENCY	SMOKE/FIRE/FUMES (S-8)	2. Smoke Googles	DON		
STANDARD	EMERGENCY	ENGINE SEVERE DAMAGE OR SEPARATION (NAP-19)	1. Autothrottle	DISENGAGE		
STANDARD	EMERGENCY	ENGINE SEVERE DAMAGE OR SEPARATION (NAP-19)	Affected Engine:			
STANDARD	EMERGENCY	ENGINE SEVERE DAMAGE OR SEPARATION (NAP-19)	2. Associated Thrust Lever	IDLE		
STANDARD	EMERGENCY	ENGINE SEVERE DAMAGE OR SEPARATION (NAP-19)	3. POWER PLANT Knob	STOP		
STANDARD	EMERGENCY	ENGINE SEVERE DAMAGE OR SEPARATION (NAP-19)	4. FIRE PROTECTION Button	PUSH		
STANDARD	EMERGENCY	ENGINE ABNORMAL START (NAP-18)	Affected Engine:			
STANDARD	EMERGENCY	ENGINE ABNORMAL START (NAP-18)	1. POWER PLANT Knob	STOP		
STANDARD	EMERGENCY	DUAL ENGINE FAILURE (NAP-10)	1. Airspeed	MIN 260 KIAS		
STANDARD	EMERGENCY	APU FIRE (EAP 5-3)	1. APU FIRE PROTECTION Button	PUSH		
STANDARD	EMERGENCY	FLTCTRL N-MODE MISBEHAVIOR (NAP-20)	1. FCS MODE Button	PUSH (STRIPPED BAR ON)		
STANDARD	EMERGENCY	AIRDROP FAIL (NAP-5)	If performing Combat Offload:			
STANDARD	EMERGENCY	AIRDROP FAIL (NAP-5)	1. Thrust Levers	IDLE		
STANDARD	EMERGENCY	AIRDROP FAIL (NAP-5)	2. Brakes	APPLY SMOOTHLY		
STANDARD	EMERGENCY	JAMMED LOAD - COMBAT OFFLOAD (NAP-25)	If performing Combat Offload:			
STANDARD	EMERGENCY	JAMMED LOAD - COMBAT OFFLOAD (NAP-25)	1. Thrust Levers	IDLE		
STANDARD	EMERGENCY	JAMMED LOAD - COMBAT OFFLOAD (NAP-25)	2. Brakes	APPLY SMOOTHLY		
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	1. Crew Oxygen Masks	DON, 100%		
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	2. Communication	ESTABLISH		
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	3. Thrust Levers	IDLE		
